id	regeste	issuer
Fontenay 284	Régeste	
Fontenay 285	Régeste	
Fontenay 286	Régeste	
Fontenay 287	Régeste	
Fontenay 288	Régeste	
Fontenay 289	Régeste	
Fontenay 290	Régeste	
Fontenay 291	Régeste	
Fontenay 292	Régeste	
Fontenay 293	Régeste	
Fontenay 294	Régeste	
Fontenay 295	Régeste	
Fontenay 296	Régeste	
Fontenay 297	Régeste	
Fontenay 298	Régeste	
Fontenay 299	Régeste	
Fontenay 300	Régeste	
Fontenay 301	Régeste	
Fontenay 302	Régeste	
Fontenay 303	Régeste	
Fontenay 304	Régeste	
Fontenay 306	Régeste	
Fontenay 307	Régeste	
Fontenay 308	Régeste	
Fontenay 309	Régeste	
Fontenay 310	Régeste	
Fontenay 311	Régeste	
Fontenay 312	Régeste	
Fontenay 313	Régeste	
Fontenay 314	Régeste	
Fontenay 316	Régeste	
Fontenay 317	Régeste	
Fontenay 5A	Bornage des territoires de Poiseul, Juigny et Villers, disputés entre l’abbaye de Fontenay et celle de Flavigny, ratifié en chapitre par Aganon, abbé de Flavigny, en présence de Guillaume, abbé de Fontenay, et de deux moines.
Fontenay 9A	Notice de la division des terres de Fontaines-les-Sèches entre l’abbaye [Notre-Dame de] Fontenay et Juilly-les-Nonnains, données respectivement par Milon, comte de Bar[-sur-Seine], et Renard de Montbard, et réglementation des usages respectifs des deux institutions dans les bois de Fontaines.
Fontenay 108A	Donation par Anséric [VI] de Montréal et sa femme du libre passage au péage de Dijon à l’abbaye de Fontenay.
Fontenay 169	Concession faite par G[uy], abbé de Molesme, à la réquisition d’Etienne, évêque d’Autun, d’un lieu où il y avait un ermitage à la charge d’y bâtir une abbaye bénédictine.
Fontenay 187	R[enaud], abbé de Flavigny
Fontenay 193	fait référence aux actes confirmés dans pancarte 2, chap. 20, 21 et 22.
Fontenay 195	Lettre de B[ernard], abbé de Saint-Martin d’Autun, à H[enri], évêque d’Autun, par laquelle il atteste que les moines de Fontenay tiennent leurs terres des Fraignes de son abbaye, et qu’il témoignera en justice contre Obert de Thil, ce qu’il aurait déjà fait s’il avait pu.
Fontenay 197	Revoir arbre tradition
Fontenay 216	Donation de cinq muids de froment de rente, sur le produit de l’éminage d’Autun, faite par Hugues III, duc de Bourgogne, à l’abbaye de Fontenay.
